Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	47	5.471478463329453	2.2141714926941956E-13	FGF5, PPP2R3A, FGF7, TNC, CSF1, COL3A1, ITGA11, KITLG, FGF10, TLR4, FGF13, GNG11, LPAR1, ITGB1, ITGAV, COMP, COL6A3, COL6A2, COL6A1, CREB3L1, PDGFC, ANGPT1, PRKAA2, LAMB1, THBS1, FGF2, AKT3, FN1, IL6, ITGA1, ITGA4, COL5A2, COL5A1, LAMA2, VEGFC, CCND1, LAMA4, CHRM2, ITGA5, ITGA8, COL1A2, PDGFRA, JAK1, PDGFRB, COL1A1, LAMC1, NGF	279	345	6910	3.3740584904680277	4.80391282309256E-11	4.80391282309256E-11	2.8117508321656715E-10
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	23	2.6775320139697323	1.8932982752530917E-12	TNC, COL3A1, ITGA11, ITGA1, ITGA4, ITGB1, COL5A2, COL5A1, LAMA2, LAMA4, ITGA5, ITGAV, COMP, ITGA8, COL6A3, COL1A2, COL6A2, COL6A1, COL1A1, LAMC1, THBS1, LAMB1, FN1	279	87	6910	6.5476043340337	4.1083814128484164E-10	2.054190151312696E-10	2.404687560186858E-9
KEGG_PATHWAY	hsa04510:Focal adhesion	33	3.841676367869616	2.508842795316365E-11	TNC, COL3A1, ITGA11, ITGB1, COMP, ITGAV, COL6A3, COL6A2, COL6A1, PDGFC, SHC3, THBS1, LAMB1, AKT3, FN1, ROCK1, ROCK2, ITGA1, ITGA4, COL5A2, COL5A1, LAMA2, VEGFC, CCND1, LAMA4, ITGA5, ITGA8, COL1A2, PDGFRA, PDGFRB, COL1A1, LAMC1, MYLK	279	206	6910	3.967533145422278	5.444177553215468E-9	1.8147258140643885E-9	3.1865410310416564E-8
KEGG_PATHWAY	hsa05200:Pathways in cancer	42	4.889406286379511	1.1146503714817464E-8	WNT5A, ADCY4, FGF5, WNT16, FGF7, KITLG, FGF10, FGF13, GNG11, LPAR1, BDKRB2, ITGB1, CXCL12, MMP1, FLT3LG, AGTR1, PLCB4, ITGAV, TPR, RUNX1, PLCB1, LAMB1, FGF2, AKT3, FN1, AR, IL6, ROCK1, ROCK2, RUNX1T1, FZD2, STAT1, FZD7, LAMA2, VEGFC, CCND1, LAMA4, HIF1A, PDGFRA, JAK1, PDGFRB, LAMC1	279	393	6910	2.6468576431639717	2.4187883954640554E-6	6.046976473994548E-7	1.4157467209674479E-5
KEGG_PATHWAY	hsa04974:Protein digestion and absorption	16	1.8626309662398137	1.8040845660698573E-6	COL21A1, COL13A1, COL3A1, COL15A1, MME, COL5A2, COL5A1, SLC7A7, COL6A3, COL1A2, COL6A2, COL12A1, COL6A1, COL1A1, SLC1A1, DPP4	279	88	6910	4.5030954708374065	3.914100830543221E-4	7.829427563821323E-5	0.0022913911661648356
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	24	2.7939464493597206	4.5869961367145255E-6	WNT5A, WNT16, ROCK1, ROCK2, LUM, TLR4, RDX, DCN, FZD2, TIMP3, ITGB1, HOXD10, FZD7, CTSL, CCND1, HIF1A, ITGA5, ITGAV, THBS1, FGF2, TWIST2, AKT3, FN1, TWIST1	279	200	6910	2.9720430107526887	9.948852177811274E-4	1.6588298065811635E-4	0.005825908327805607
KEGG_PATHWAY	hsa04810:Regulation of actin cytoskeleton	23	2.6775320139697323	3.538975081790566E-5	FGF5, FGF7, ROCK1, ROCK2, DIAPH2, ITGA11, ITGA1, FGF10, FGF13, RDX, BDKRB2, ITGA4, ITGB1, ITGA5, CHRM2, ITGAV, ITGA8, PDGFRA, PDGFRB, PDGFC, FGF2, MYLK, FN1	279	211	6910	2.6997231140328526	0.00765029817728724	0.0010965000925156065	0.04494014945297664
KEGG_PATHWAY	hsa05410:Hypertrophic cardiomyopathy (HCM)	13	1.5133876600698486	5.716746180974375E-5	IL6, ITGA1, ITGA11, ITGA4, CACNA2D3, ITGB1, SGCG, ITGA5, ITGAV, ITGA8, PRKAA2, CACNA1C, SGCB	279	78	6910	4.127837514934289	0.012329060421713445	0.0015495099949678348	0.07258561925411744
KEGG_PATHWAY	hsa04611:Platelet activation	17	1.979045401629802	5.92238586164712E-5	ADCY4, ROCK1, ROCK2, COL3A1, PTGS1, PRKG1, COL5A2, ITGB1, COL5A1, PTGIR, PLCB4, GUCY1A2, COL1A2, COL1A1, PLCB1, MYLK, AKT3	279	130	6910	3.2387648194099805	0.01276972414911881	0.0014269762214724757	0.07519572499055105
KEGG_PATHWAY	hsa05146:Amoebiasis	15	1.7462165308498252	7.929957035191618E-5	IL1R1, IL6, COL3A1, TLR4, COL5A2, COL5A1, LAMA2, LAMA4, PLCB4, COL1A2, COL1A1, LAMC1, LAMB1, PLCB1, FN1	279	106	6910	3.5047677013593024	0.01706146532505548	0.0017193890637141607	0.10067375784589272
