Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04510:Focal adhesion	48	2.6607538802660753	6.914568411389781E-12	XIAP, TNC, COL3A1, ITGA11, ITGB3, PTEN, ITGB1, VCL, ITGAV, COMP, SOS1, SOS2, COL6A3, COL6A2, COL6A1, PDGFC, LAMB1, THBS1, SHC3, THBS2, AKT3, PIK3R1, THBS3, FN1, PRKCA, TNXB, ROCK1, ROCK2, ITGA1, IGF1, ITGA4, BIRC2, COL5A2, COL5A1, LAMA2, VEGFC, CCND1, LAMA4, ITGA5, ITGA8, ITGA7, COL1A2, PDGFRA, PDGFRB, MAPK9, COL1A1, LAMC1, MYLK	538	206	6910	2.9927455155736817	1.8254491251923355E-9	1.8254491251923355E-9	9.059664130006695E-9
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	63	3.492239467849224	1.6150038682286202E-10	FGF5, FGF7, LPAR4, FGF10, TLR4, FGF13, LPAR1, PTEN, CREB3L1, PDGFC, ANGPT1, FGF1, FGF2, AKT3, PRKCA, IFNAR1, VEGFC, CCND1, CHRM2, COL1A2, PDGFRA, PDGFRB, GNB3, LAMC1, COL1A1, NGF, PPP2R3A, TNC, CSF1, COL3A1, ITGA11, KITLG, GNG11, ITGB3, ITGB1, ITGAV, COMP, SOS1, COL6A3, SOS2, COL6A2, COL6A1, PRKAA2, LAMB1, THBS1, THBS2, THBS3, PIK3R1, FN1, IL6, TNXB, ITGA1, IGF1, ITGA4, COL5A2, COL5A1, LAMA2, LAMA4, ITGA5, ITGA8, ITGA7, JAK1, JAK2	538	345	6910	2.34540164861807	4.263609643118116E-8	2.1318048437635184E-8	2.11602113608933E-7
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	28	1.5521064301552108	1.6219891165035268E-10	TNC, COL3A1, ITGA11, ITGB3, ITGB1, COMP, ITGAV, COL6A3, COL6A2, COL6A1, THBS1, LAMB1, THBS2, THBS3, FN1, TNXB, ITGA1, ITGA4, COL5A2, COL5A1, LAMA2, LAMA4, ITGA5, ITGA8, ITGA7, COL1A2, COL1A1, LAMC1	538	87	6910	4.133658078024185	4.2820514245534014E-8	1.4273504933548509E-8	2.1251738147043397E-7
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	44	2.4390243902439024	4.322151586401947E-10	WNT5A, WNT16, WNT5B, ERBB4, LUM, TLR4, RDX, ITGB3, DCN, MMP2, TIMP3, ITGB1, HOXD10, TGFB1, SDC2, IQGAP1, HPSE2, ITGAV, SOS1, SOS2, FAS, PRKACB, THBS1, FGF2, TWIST2, AKT3, PIK3R1, FN1, TWIST1, PRKCA, ROCK1, ROCK2, HCLS1, IGF1, FZD2, FZD7, PTPN11, ITPR2, CTSL, CCND1, PLCE1, CBLB, HIF1A, ITGA5	538	200	6910	2.825650557620818	1.1410479383577865E-7	2.852619962467884E-8	5.662998958655407E-7
KEGG_PATHWAY	hsa05200:Pathways in cancer	67	3.713968957871397	7.890276124349593E-10	ADCY4, FGF5, FGF7, TGFB3, LPAR4, FGF10, FGF13, LPAR1, MMP2, PTEN, CXCL12, MMP1, TGFB1, FLT3LG, AGTR1, PLCB4, FAS, PRKACB, TPR, PLCB1, FGF1, FGF2, AKT3, PRKCA, AR, ROCK1, ROCK2, RUNX1T1, VEGFC, CCND1, HIF1A, PDGFRA, MAPK9, PDGFRB, PIAS2, GNB3, LAMC1, WNT5A, WNT16, WNT5B, XIAP, KITLG, GNG11, BDKRB2, TCF7L2, ITGB1, ITGAV, SOS1, SOS2, RUNX1, LAMB1, TRAF5, PIK3R1, FN1, APC, IL6, MSH3, IGF1, FZD2, STAT1, APPL1, BIRC2, FZD7, LAMA2, LAMA4, CBLB, JAK1	538	393	6910	2.189666751799616	2.0830327029930373E-7	4.1660657590369965E-8	1.0338051636971102E-6
KEGG_PATHWAY	hsa05414:Dilated cardiomyopathy	22	1.2195121951219512	1.0708876278239622E-6	ADCY4, ITGA11, ITGA1, TGFB3, CACNB2, IGF1, ITGA4, ITGB3, TPM2, CACNA2D3, ITGB1, TPM4, TGFB1, SGCG, ITGA5, ITGAV, PLN, ITGA8, ITGA7, PRKACB, CACNA1C, SGCB	538	84	6910	3.3638697114533547	2.826745251418572E-4	4.711797076617508E-5	0.0014030966205447193
KEGG_PATHWAY	hsa05410:Hypertrophic cardiomyopathy (HCM)	21	1.164079822616408	1.2556244066031018E-6	IL6, ITGA11, ITGA1, TGFB3, CACNB2, IGF1, ITGA4, ITGB3, TPM2, CACNA2D3, ITGB1, TPM4, TGFB1, SGCG, ITGA5, ITGAV, ITGA8, ITGA7, PRKAA2, CACNA1C, SGCB	538	78	6910	3.4579639691163857	3.3143011634273467E-4	4.735388611820657E-5	0.0016451402989225983
KEGG_PATHWAY	hsa04020:Calcium signaling pathway	32	1.7738359201773837	1.6192818112633015E-5	ADCY4, GNA14, ERBB4, OXTR, BDKRB2, ATP2B1, AGTR1, PLCB4, ATP2B4, PDE1C, PDE1A, GRPR, PRKACB, PPP3CA, PLCB1, PRKCA, STIM2, PTGFR, ITPR2, PLCE1, CAMK4, CHRM2, PLN, CACNA1G, PDGFRA, ADRA1B, PDGFRB, HTR2B, CACNA1C, MYLK, ADRA1D, HTR2A	538	179	6910	2.296110153475525	0.004265814050401162	5.342245753933161E-4	0.021214186159834725
KEGG_PATHWAY	hsa04810:Regulation of actin cytoskeleton	35	1.9401330376940134	3.0706582979802345E-5	FGF5, FGF7, DIAPH2, ITGA11, FGF10, RDX, FGF13, ITGB3, BDKRB2, ITGB1, IQGAP1, VCL, ITGAV, SOS1, SOS2, PIKFYVE, PDGFC, FGF1, FGF2, PIK3R1, APC, FN1, ROCK1, ROCK2, ITGA1, ITGA4, CHRM2, ITGA5, CFL2, ITGA8, ITGA7, PDGFRA, PDGFRB, TMSB4X, MYLK	538	211	6910	2.130499127891612	0.008073891996423277	9.003347187332977E-4	0.04022511443606547
KEGG_PATHWAY	hsa05146:Amoebiasis	22	1.2195121951219512	5.141874012643784E-5	PRKCA, GNA14, IL6, IL1R1, COL3A1, TGFB3, TLR4, COL5A2, COL5A1, TGFB1, VCL, LAMA2, LAMA4, PLCB4, COL1A2, COL1A1, LAMC1, PRKACB, PLCB1, LAMB1, PIK3R1, FN1	538	106	6910	2.6657080732271865	0.013483173006575644	0.0013565686675646171	0.06734925570738293
KEGG_PATHWAY	hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC)	17	0.9423503325942351	8.110146852582005E-5	ITGA11, ITGA1, CACNB2, GJA1, ITGA4, ITGB3, CDH2, CACNA2D3, TCF7L2, ITGB1, SGCG, ITGA5, ITGAV, ITGA8, ITGA7, CACNA1C, SGCB	538	71	6910	3.075291900099481	0.02118405379620303	0.0019446209481412957	0.10620918812151992
KEGG_PATHWAY	hsa04022:cGMP-PKG signaling pathway	28	1.5521064301552108	1.7115263981452118E-4	KCNMB3, ADCY4, MEF2A, BDKRB2, PRKG1, ADORA1, ATP2B1, AGTR1, PLCB4, ATP2B4, GUCY1A2, ADRA2A, CREB3L1, PPP3CA, PLCB1, PIK3R1, AKT3, TRPC6, ROCK1, ROCK2, ITPR2, KCNJ8, PLN, ADRA1B, GUCY1B3, CACNA1C, MYLK, ADRA1D	538	166	6910	2.1664352577596633	0.04418238560981569	0.003758599055376899	0.22401668229543592
KEGG_PATHWAY	hsa04540:Gap junction	18	0.9977827050997782	3.605121247963407E-4	PRKCA, ADCY4, GJA1, LPAR1, PRKG1, ITPR2, PLCB4, SOS1, SOS2, GUCY1A2, PDGFRA, PDGFRB, GUCY1B3, PDGFC, PRKACB, PLCB1, HTR2B, HTR2A	538	88	6910	2.6271544440689416	0.0908019765748711	0.0072957451987772926	0.47132359488989417
