Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change	score
RXFP1	8.96688522837185	7.32251109074524e-14	UP	6.90206223009483	2.17702435090471e-08	UP	0	1	NOT	8.96688522837185
MMP27	8.55996151790739	6.59303511158473e-13	UP	6.08245294531162	1.19331663086976e-06	UP	0	1	NOT	8.55996151790739
LINC01305	8.36965401070769	9.77787243349243e-13	UP	6.62811394620165	4.60302239308512e-08	UP	0	1	NOT	8.36965401070769
CLGN	8.2883887649351	1.34348407842207e-12	UP	6.36488784417452	1.69104044536438e-07	UP	0	1	NOT	8.2883887649351
CCL11	8.19384720538664	2.09513631712523e-11	UP	4.55105763453217	0.000994411179476033	UP	0	1	NOT	8.19384720538664
INMT	7.8959100887902	1.59030528865146e-10	UP	7.13418023324173	1.18839833712141e-08	UP	0	1	NOT	7.8959100887902
BHLHE22	7.82410821557236	2.10629543195042e-09	UP	3.41433171700431	0.0303016188985278	UP	0	1	NOT	7.82410821557236
MEOX2	7.75304607744502	4.26613849115066e-10	UP	5.72466497587515	1.23032592067144e-05	UP	0	1	NOT	7.75304607744502
KIRREL3-AS2	7.62251733543554	1.34488354616219e-09	UP	6.28091978633845	1.17528009463112e-06	UP	0	1	NOT	7.62251733543554
LPAR4	7.52357013522273	4.43644812253248e-09	UP	4.27099620076315	0.00330882623564782	UP	0	1	NOT	7.52357013522273
HAND2	7.39686018960235	1.5329934800321e-09	UP	6.58819259859202	1.26126931035133e-07	UP	0	1	NOT	7.39686018960235
SRD5A2	7.16810028058009	2.33106973288456e-07	UP	5.47215015971737	0.000139513475567359	UP	0	1	NOT	7.16810028058009
ZIC4	7.14903007053892	4.96362426018712e-08	UP	6.73408298523165	3.7509714223031e-07	UP	0	1	NOT	7.14903007053892
ADRA2A	7.00521641273705	2.94021985056822e-08	UP	6.37147568569907	6.85066088228351e-07	UP	0	1	NOT	7.00521641273705
NAV2-AS4	6.96264471851641	2.72150462049671e-07	UP	5.15045778607256	0.000295538034312331	UP	0	1	NOT	6.96264471851641
LOC101927640	6.92031980355425	7.65056477794326e-08	UP	5.651708084072	2.33922950079749e-05	UP	0	1	NOT	6.92031980355425
OR1J4	6.82370031261655	1.89681340309969e-07	UP	5.86946619524853	1.28766689490843e-05	UP	0	1	NOT	6.82370031261655
FSTL5	6.77271808143994	9.66557783271349e-07	UP	4.1032837246205	0.00719750842795121	UP	0	1	NOT	6.77271808143994
BANK1	6.74341986041414	1.10061370301467e-06	UP	4.71780679785882	0.00134390745039087	UP	0	1	NOT	6.74341986041414
MEG9	6.66132296064778	1.74182193940881e-07	UP	6.51126262342281	3.7798559709278e-07	UP	0	1	NOT	6.66132296064778
GAP43	6.58853334023106	2.72999280343484e-06	UP	3.32433342937642	0.042672899535914	UP	0	1	NOT	6.58853334023106
OSR1	7.18603973584032	2.34042939599459e-10	UP	4.86815992422785	3.51878395725967e-05	UP	0.343472855719439	0.861848880595768	NOT	6.49909402440144
LOC401463	6.3986038545263	3.23822696883192e-06	UP	4.22031144536374	0.00512968197559071	UP	0	1	NOT	6.3986038545263
FAM162B	6.32896853417109	6.84986663438973e-06	UP	5.4221304395796	0.000176529230754237	UP	0	1	NOT	6.32896853417109
RSPO1	6.29731132486232	3.59437329630551e-06	UP	4.79952654844306	0.000863485071722181	UP	0	1	NOT	6.29731132486232
LOC100506188	6.23284728602948	1.38315030939327e-05	UP	3.32366348064733	0.0442695169655442	UP	0	1	NOT	6.23284728602948
FGF10	6.15198228658748	1.27812263998573e-05	UP	5.48515029860543	0.000139214966344987	UP	0	1	NOT	6.15198228658748
SYNPO2	6.43469168998938	2.15575421043142e-12	UP	4.80987870416432	2.65426907263964e-07	UP	0.155201843169797	0.91959458060996	NOT	6.12428800364979
SCN1A	8.20581552818045	1.37337536158306e-12	UP	6.21584397708178	1.79039423306453e-07	UP	1.10712085281321	0.545243795723032	NOT	5.99157382255404
APELA	5.96347705943995	3.32050127697056e-05	UP	4.19782543575055	0.00656867633485801	UP	0	1	NOT	5.96347705943995
GNA14-AS1	5.90034378561691	3.54117911395408e-05	UP	4.64001899005666	0.00194399850773291	UP	0	1	NOT	5.90034378561691
RIMS1	5.85660260865641	4.40325556834408e-05	UP	5.69736414202811	8.1704491959749e-05	UP	0	1	NOT	5.85660260865641
MIR381HG	5.79010451334622	4.42317136080836e-05	UP	4.68454713336411	0.00159477177369894	UP	0	1	NOT	5.79010451334622
TCF21	5.69062710516828	0.000154851730950492	UP	5.14128209683998	0.000815430885236252	UP	0	1	NOT	5.69062710516828
DPYD-AS1	5.68349076107224	0.000102041535532036	UP	4.63898373905865	0.00229714830471543	UP	0	1	NOT	5.68349076107224
