Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change	score
FGFBP1	-9.42969693231732	1.57642752136821e-16	DOWN	-3.24006252835526	0.00243650957351115	DOWN	-0.416992336092351	0.769565608742915	NOT	-8.59571226013261
FXYD3	-8.45198717049255	4.24095977133542e-13	DOWN	-2.44163398969584	0.0257616523755995	DOWN	-0.136522445350363	0.936269775880889	NOT	-8.17894227979183
S100A9	-7.64670029917069	7.78650666407427e-11	DOWN	-3.86133823419417	0.000556190602614194	DOWN	-0.00508708501076376	1	NOT	-7.63652612914916
PKP1	-9.29227911416197	2.04401485023711e-17	DOWN	-2.69447652825437	0.018068299925624	DOWN	-1.24150285233997	0.332263675977102	NOT	-6.80927340948203
GNA15	-7.58001009451629	5.5659562334837e-11	DOWN	-2.43032368406434	0.030705538512179	DOWN	-0.488025042249034	0.729829117425527	NOT	-6.60396001001822
SERPINB5	-9.2336062713806	5.3060666347469e-17	DOWN	-2.27723841934248	0.0365411635264389	DOWN	-1.34985678257152	0.253728216952093	NOT	-6.53389270623757
AIM1L	-6.79260128148335	1.10899988004886e-08	DOWN	-1.92213969992758	0.048875272745289	DOWN	-0.418730774681756	0.72805187377917	NOT	-5.95513973211984
ANKRD22	-5.91448576455369	1.31888680490699e-06	DOWN	-2.37746959359578	0.00989377911975927	DOWN	-0.0181287027078242	0.997561042080712	NOT	-5.87822835913804
DENND1C	-6.5155273886214	1.8479351434215e-08	DOWN	-2.39759254722993	0.0252305151350572	DOWN	-0.359188037921021	0.797652065634311	NOT	-5.79715131277936
RAB11FIP4	-5.97233233804996	1.16766750376113e-08	DOWN	-2.09459925823349	0.0430200916699799	DOWN	-0.113418916443926	0.94439993056396	NOT	-5.74549450516211
HAP1	-6.34089184370649	2.59751863576689e-07	DOWN	-2.56957314075219	0.00961883005932693	DOWN	-0.345276373570618	0.788119223418138	NOT	-5.65033909656526
CELSR2	-5.99577532341248	8.65307437267683e-14	DOWN	-1.93432447380678	0.0171537328290149	DOWN	-0.236095533252378	0.829847868757949	NOT	-5.52358425690772
SPINT2	-5.97269933993546	1.22373602136132e-09	DOWN	-2.1269243204438	0.038162019952729	DOWN	-0.271865465970802	0.845004649857692	NOT	-5.42896840799386
CRB3	-6.95949168244818	8.08211963592523e-09	DOWN	-2.87108322579413	0.00305330064144148	DOWN	-0.779914257377367	0.492680485430148	NOT	-5.39966316769345
KLK10	-9.21673551753907	5.83096019781861e-15	DOWN	-4.13629533165082	9.70304487302694e-05	DOWN	-1.95369399235116	0.0897259242181844	NOT	-5.30934753283674
PRSS8	-7.83721896668579	2.54864252096283e-12	DOWN	-3.96504621732576	0.000274439965230191	DOWN	-1.31152873082477	0.293808017178599	NOT	-5.21416150503624
SP6	-5.43371334822889	2.37646639167111e-07	DOWN	-2.668512930157	0.00343815014246969	DOWN	-0.134229679512481	0.922555683368792	NOT	-5.16525398920393
ERBB3	-6.90372368587568	1.25846415927083e-12	DOWN	-2.15895661129963	0.0229195980399796	DOWN	-0.951656445664833	0.374632604221841	NOT	-5.00041079454601
S100A8	-8.75599124445805	3.80605811669164e-14	DOWN	-5.90005248702255	3.38084147914657e-11	DOWN	-1.88702155091655	0.0403691388372251	DOWN	-4.98194814262496
EDA	-5.30945564076723	1.25925214753728e-05	DOWN	-2.14464105486837	0.00531693651138695	DOWN	-0.196863309037166	0.837086003556806	NOT	-4.9157290226929
AQP3	-6.39720551844577	8.25018175813956e-09	DOWN	-3.5080255763027	0.0008825056192039	DOWN	-0.741942066861242	0.563544140460803	NOT	-4.91332138472329
DEF6	-5.3915296417481	4.80487688166567e-08	DOWN	-1.61330160203607	0.0486241632519142	DOWN	-0.246624100108802	0.81676835164597	NOT	-4.8982814415305
ST6GALNAC2	-6.05083947669553	1.72340167646621e-09	DOWN	-2.4375352122696	0.0140006513707171	DOWN	-0.617417352929783	0.607058376997372	NOT	-4.81600477083596
VAMP8	-6.56527922426204	2.39355430208335e-09	DOWN	-2.57907320022119	0.0159165689419263	DOWN	-0.885073892109312	0.477502895913634	NOT	-4.79513144004341
KDF1	-7.0885999615393	1.74538497728546e-09	DOWN	-2.20554374779737	0.0161471446325554	DOWN	-1.16692153602172	0.242022426410278	NOT	-4.75475688949586
GJB4	-6.4978006129286	1.74420349585303e-07	DOWN	-2.16868086382588	0.0418122306686087	DOWN	-0.882200950772617	0.465507673272448	NOT	-4.73339871138337
TFCP2L1	-8.44018389946398	2.17371691668239e-12	DOWN	-2.5745756765199	0.0228387864359829	DOWN	-1.87475633509177	0.114246447600676	NOT	-4.69067122928045
AIF1L	-8.53924423484725	1.84345349548782e-13	DOWN	-3.45342828164155	0.000307436628894376	DOWN	-1.98898346613261	0.0495622400797248	DOWN	-4.56127730258203
GGT6	-5.567463840967	2.07666113395224e-05	DOWN	-3.30540350261042	0.00215887875320627	DOWN	-0.534865216683157	0.671880752285781	NOT	-4.49773340760068
IGSF9	-5.4045047565135	1.17046692402428e-07	DOWN	-2.17953555447991	0.0190002818508888	DOWN	-0.48935750242027	0.666804398789353	NOT	-4.42578975167296
PPP1R14C	-5.93075950796548	3.63605139579369e-10	DOWN	-2.55887342533641	0.0026511767579734	DOWN	-0.782237139824802	0.428983286043136	NOT	-4.36628522831588
C2orf54	-5.85012248308233	1.26385326189649e-05	DOWN	-5.27032711171977	2.10010632991991e-05	DOWN	-0.743886087288939	0.549897256861944	NOT	-4.36235030850445
DMTN	-7.4276293078831	3.49698806010641e-11	DOWN	-2.76739760406325	7.66454018836485e-05	DOWN	-1.53577210145735	0.0342697065628692	DOWN	-4.35608510496841
PKP3	-8.0045548975243	5.4706947734926e-14	DOWN	-2.86613886122645	0.0075717601015985	DOWN	-1.83067840508745	0.108403874102478	NOT	-4.34319808734939
TRIM29	-10.4640451689717	2.42535861297479e-24	DOWN	-4.87423934642924	1.15219261259125e-06	DOWN	-3.06333966618499	0.00336547456903338	DOWN	-4.33736583660171
LAD1	-9.25417271587503	2.20622626153092e-15	DOWN	-3.16354991392989	0.00638439411710903	DOWN	-2.50001218481767	0.0373031862914888	DOWN	-4.25414834623968
MYCL	-6.1701634270216	4.998915485595e-07	DOWN	-2.40926834898662	0.00923675243543188	DOWN	-0.962905675819324	0.346075676623181	NOT	-4.24435207538295
KRT15	-7.6461964770047	3.04084224198999e-08	DOWN	-3.63804479478738	0.0118658675959155	DOWN	-1.71070721115144	0.288909313628235	NOT	-4.22478205470182
LPAR5	-4.95867713894903	1.25925214753728e-05	DOWN	-2.48234771395592	0.00717828253911278	DOWN	-0.383963924719239	0.732617129787568	NOT	-4.19074928951055
TSTD1	-4.95975276109617	1.0016348587962e-05	DOWN	-2.09059552453524	0.019916995819697	DOWN	-0.406653688425498	0.707172302777916	NOT	-4.14644538424518
