Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change
ABCC9	7.53685999925396	1.67140871857812e-08	UP	7.43378588132497	4.13650506780486e-08	UP	3.30232260271366	0.172029924782312	NOT
ABI3BP	5.87532207624007	1.88389334351363e-11	UP	5.08540640803971	4.50852010394193e-08	UP	3.47636421965717	0.00293160955159893	UP
ACAD11	3.22365949821634	0.00089694831137327	UP	2.70406891858667	0.0228559718781821	UP	2.35264301728675	0.119982705884767	NOT
ACAP2	2.26252477584924	3.76593013415542e-05	UP	2.16246381663684	0.000239344251704929	UP	1.71209570496973	0.0567627386027991	NOT
ACKR4	8.56426067874574	3.82004016921312e-17	UP	6.96717338373378	9.85164443533894e-11	UP	3.24644034995193	0.0567627386027991	NOT
ACSS3	5.98361237889681	1.26476850030659e-12	UP	4.67897197195378	6.07422936387569e-07	UP	3.09239936859044	0.0169164048168595	UP
ACVRL1	6.00610515704713	1.5997115553416e-10	UP	4.64405075267596	1.02191254812414e-05	UP	2.03305007420773	0.58382341201109	NOT
ADAM12	5.80411798606623	3.43739934382214e-07	UP	4.95789485972197	5.86491530131606e-05	UP	2.13835429544841	0.630268534309031	NOT
ADAM19	4.72851534826309	2.08636392374405e-06	UP	4.43651778360567	2.12848673773659e-05	UP	3.80488990735418	0.000969978208708393	UP
ADAM33	6.52700807629374	0.000258656623724941	UP	5.48525959288264	0.00589712680083126	UP	2.86823632031442	0.553909159518744	NOT
ADAM9	3.0589245826052	6.6274326261273e-06	UP	2.23199574296761	0.0193802671536019	UP	1.77326130274158	0.264059527133982	NOT
ADAMTS12	8.19556270810607	2.77892094701034e-13	UP	7.53340801691448	6.5970488694096e-11	UP	5.43808444798229	3.20594564179771e-05	UP
ADAMTS5	6.14517663553477	3.91913908019552e-06	UP	5.57438345466482	7.48436564441326e-05	UP	2.01641875385254	0.91625603291662	NOT
ADAMTSL1	5.83576297737225	0.000187205658786524	UP	5.41889781818012	0.00105446032356856	UP	0.6864180611315	1	NOT
ADCY4	5.1197325254937	1.83758507462442e-06	UP	3.84739371504768	0.00282160560555464	UP	1.33503303056043	1	NOT
ADGRD1	6.82835308233706	0.000174256167079258	UP	5.81880734164757	0.00372005823483079	UP	2.82065902687447	0.622135351469684	NOT
ADGRL4	8.80920057072277	1.5939977756217e-11	UP	8.16659297869712	1.25058980525634e-09	UP	4.81807637815327	0.00724192611408751	UP
ADRA1D	6.93642165714708	4.87771636612579e-07	UP	4.37441111024912	0.0161134810082451	UP	2.43194904150575	0.730031393588929	NOT
