Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change
ABCA12	-5.15030549151069	1.25997078189826e-08	DOWN	-3.52368592071831	0.000654842927091049	DOWN	-2.89713694785705	0.017794935136489	DOWN
ABCG1	-7.82942365282044	9.50096369918262e-09	DOWN	-4.70549011542066	1.98839363382612e-06	DOWN	-2.47901465932313	0.105005576675041	NOT
ABLIM2	-6.75696573843736	2.20607550237937e-05	DOWN	-5.00133140565716	0.000334039574957669	DOWN	-3.09131971005217	0.0775009016078821	NOT
AGAP3	-1.86938061782518	0.00474101997173436	DOWN	-1.73035855441413	0.0270479043130067	DOWN	-1.64605155857262	0.0662655037362761	NOT
AIF1L	-8.53924423484725	3.05623145585454e-10	DOWN	-3.45342828164155	0.0327597360688346	DOWN	-1.98898346613261	0.789794037754569	NOT
AJAP1	-7.40134697686001	2.72427086690949e-06	DOWN	-6.16990671004292	2.56159578957701e-06	DOWN	-6.16724206540851	3.65743674653821e-06	DOWN
ALDH4A1	-3.04066506150453	0.00164324857308776	DOWN	-2.88811499068339	0.00462872192422435	DOWN	-2.57176600953998	0.0270430919462886	DOWN
ALOX12B	-7.09591162242645	3.83745046049201e-06	DOWN	-5.84630766522355	1.06645581067648e-05	DOWN	-2.43882423591108	0.286127442593999	NOT
ALOXE3	-7.24767786508181	6.62593883258845e-09	DOWN	-4.44311882442826	7.56366505885891e-06	DOWN	-3.77592365463524	0.000330112788024848	DOWN
APRT	-2.51838788384284	0.00582660529131768	DOWN	-2.39191505831467	0.0159392659451499	DOWN	-1.63192875664013	0.557497577541422	NOT
ASNA1	-2.54967654777264	4.48121569168293e-06	DOWN	-2.49788079621607	1.14649981705809e-05	DOWN	-2.37270828451504	8.09567013389829e-05	DOWN
ATF3	-3.62333949444207	0.000271550838099824	DOWN	-2.81849630347472	0.0241316629238864	DOWN	-0.936214566914784	1	NOT
ATG101	-2.22938733480915	0.0103489495063778	DOWN	-2.04260243513886	0.0462106126864253	DOWN	-2.00532070072185	0.0619550665197809	NOT
ATP13A2	-2.28185473573567	0.0150997614952289	DOWN	-2.14989432976405	0.041387917780606	DOWN	-1.47115269762704	0.801918614514803	NOT
ATP5D	-1.86848206625705	0.00972668430149415	DOWN	-1.82595580809592	0.0170660505408391	DOWN	-1.10112791941766	1	NOT
ATP6V0B	-2.36867652945742	0.00024393099116069	DOWN	-2.36080803548287	0.000302512409492309	DOWN	-1.65904957048213	0.182349653787745	NOT
AVPI1	-3.67640099936043	1.76022294815783e-06	DOWN	-3.57840718181295	5.47229886793882e-06	DOWN	-2.32432204686229	0.049785759222979	DOWN
AZGP1	-6.52665218477444	2.57354274720213e-05	DOWN	-3.48697979748526	0.0252700296786314	DOWN	-1.6350641013619	1	NOT
B4GALNT3	-7.55428893109207	9.41062924125663e-08	DOWN	-3.35532007224294	0.0240088360824088	DOWN	-2.0755933495548	0.597086271208273	NOT
BAHD1	-2.00055098725645	0.00573020205037903	DOWN	-1.87473153673225	0.0222401544958757	DOWN	-1.35938653352257	0.709734562705121	NOT
