Row.names	res1_log2FoldChange	res1_padj	res1_change	res2_log2FoldChange	res2_padj	res2_change	res3_log2FoldChange	res3_padj	res3_change
AAAS	-2.03261839595637	1.23675810551162e-06	DOWN	-1.53226553309874	0.000295849919053061	DOWN	-1.01848564606496	0.0207575099467149	DOWN
AACS	-1.13042339322224	0.00527131132314073	DOWN	-1.01467464470332	0.013822949947668	DOWN	-0.702810921157358	0.104371273191362	NOT
AADACL2	-4.64557374304118	0.00206709996044497	DOWN	-3.59003749978178	0.0116429753510108	DOWN	-2.98534165099044	0.0344267236086875	DOWN
AAMP	-1.98603192687445	1.55676603972345e-08	DOWN	-1.59504965279637	6.32837345972015e-06	DOWN	-0.683182197460558	0.0739098797963613	NOT
AATK	-4.98695295020123	0.000138743879040938	DOWN	-2.57016664185924	0.00608305015201705	DOWN	-1.73198179289242	0.0572100823882565	NOT
ABCA12	-5.15030549151069	1.92472423231425e-13	DOWN	-3.52368592071831	1.4134983590282e-07	DOWN	-2.89713694785705	1.71459974675241e-05	DOWN
ABCF3	-1.14820902009012	0.000844368250791384	DOWN	-1.06865454887457	0.00213679385909667	DOWN	-0.833381702171695	0.020148139667844	NOT
ABCG1	-7.82942365282044	8.62702253829921e-12	DOWN	-4.70549011542066	1.34920639315276e-10	DOWN	-2.47901465932313	0.000352250264487924	DOWN
ABCG2	-2.98087530912265	0.000110671528515461	DOWN	-1.64726054492169	0.0385167547867198	DOWN	-1.47236960418158	0.0705869467301222	NOT
ABLIM1	-4.34608138766114	1.54835410371192e-07	DOWN	-2.47878313604683	0.00425684737715259	DOWN	-1.85016643798017	0.0403420213640936	DOWN
ABLIM2	-6.75696573843736	1.3629570999577e-07	DOWN	-5.00133140565716	9.79646504922778e-07	DOWN	-3.09131971005217	0.000919966699680082	DOWN
ABT1	-1.97940400678517	7.6627474057914e-07	DOWN	-1.81198601838683	5.43234717588823e-06	DOWN	-1.38291982825845	0.00062210121670723	DOWN
ACAT2	-1.28819510442125	0.0170048650440211	DOWN	-1.13780158645	0.0387681656934159	DOWN	-0.130925566779373	0.860777383464619	NOT
ACOT7	-2.84128386416095	4.89284673060918e-07	DOWN	-2.05999583386273	0.000343964387872767	DOWN	-1.01114834195763	0.104318680394254	NOT
ADCK3	-1.62826355629404	0.0001249935309115	DOWN	-1.41119601246872	0.00091673205726355	DOWN	-0.352931036741067	0.482665634668895	NOT
ADGRE2	-4.45199040425479	4.32890520365809e-07	DOWN	-1.45093907564009	0.0479076282909504	DOWN	-1.15225844526912	0.127008581159395	NOT
ADGRG1	-4.35733908268716	1.27496792710621e-08	DOWN	-2.7151054240106	0.000531639100085075	DOWN	-1.01685773342043	0.251045390591471	NOT
ADGRL1	-2.0350521461978	1.28861334146897e-06	DOWN	-2.01235452218974	1.67552951087912e-06	DOWN	-1.73004847979316	4.49614760531764e-05	DOWN
ADRM1	-2.32971673553481	1.15413307283675e-08	DOWN	-1.92522773390103	2.96596305154395e-06	DOWN	-1.44663427702082	0.000592927259856685	DOWN
ADTRP	-2.63962029085466	0.00116227967758354	DOWN	-2.48748537008278	0.00113309685425036	DOWN	-2.15582195401835	0.00404397463938838	DOWN
AGAP3	-1.86938061782518	3.9752977269839e-12	DOWN	-1.73035855441413	1.1210713758884e-10	DOWN	-1.64605155857262	9.95444883659498e-10	DOWN
AGK	-1.26025865923672	2.57194111464238e-05	DOWN	-1.05044001995047	0.000440410474751412	DOWN	-0.814052505270066	0.00776228108121368	NOT
AGPAT2	-2.30030843974862	1.28587512469982e-06	DOWN	-1.60207623959096	0.000933476917531923	DOWN	-0.854880602894927	0.0999616354591144	NOT
AIF1L	-8.53924423484725	1.84345349548782e-13	DOWN	-3.45342828164155	0.000307436628894376	DOWN	-1.98898346613261	0.0495622400797248	DOWN
AIM1L	-6.79260128148335	1.10899988004886e-08	DOWN	-1.92213969992758	0.048875272745289	DOWN	-0.418730774681756	0.72805187377917	NOT
AJAP1	-7.40134697686001	1.2056566512864e-08	DOWN	-6.16990671004292	2.72714004283344e-09	DOWN	-6.16724206540851	4.18300305690026e-09	DOWN
ALDH4A1	-3.04066506150453	2.0640997510794e-07	DOWN	-2.88811499068339	7.09488110249245e-07	DOWN	-2.57176600953998	1.14141605335571e-05	DOWN
ALG3	-1.64478434690083	0.000110420466022629	DOWN	-1.12153873568665	0.00990978970988559	DOWN	-0.380483870042876	0.448040308890208	NOT
ALKBH1	-1.74621339545594	6.65525992167838e-05	DOWN	-1.6767598381447	0.000120638309902017	DOWN	-0.881743330573952	0.0546610380123158	NOT
ALOX12B	-7.09591162242645	1.49832937731895e-08	DOWN	-5.84630766522355	1.47442686520841e-08	DOWN	-2.43882423591108	0.00568700785139174	DOWN
ALOXE3	-7.24767786508181	3.01779432066881e-12	DOWN	-4.44311882442826	6.82749577631424e-10	DOWN	-3.77592365463524	7.44551081738156e-08	DOWN
ALYREF	-1.85456386105355	0.000149765293665437	DOWN	-1.25565220788178	0.0110038292591895	DOWN	-0.88832219064411	0.0838819803195525	NOT
AMBRA1	-1.46849079651085	2.36882824809765e-05	DOWN	-1.35979097278031	0.000103768421083259	DOWN	-0.615821069980169	0.105760948993075	NOT
ANAPC2	-1.38761484348443	1.29053672303692e-05	DOWN	-1.2570091975049	7.22663785249055e-05	DOWN	-0.852970718267144	0.00878298843189983	NOT
ANKRD22	-5.91448576455369	1.31888680490699e-06	DOWN	-2.37746959359578	0.00989377911975927	DOWN	-0.0181287027078242	0.997561042080712	NOT
ANKRD39	-1.38006553220085	0.00647835947468745	DOWN	-1.36515099004635	0.00602617996145076	DOWN	-0.990146450497617	0.0502832432209454	NOT
ANXA2	-1.29104261084142	0.00017099502641528	DOWN	-1.16143794215591	0.000917061259146558	DOWN	-0.784602962899596	0.0328191536989966	NOT
APC2	-1.2816934763792	0.00455096316208878	DOWN	-1.0838215821374	0.0162739387341697	DOWN	-0.956624438784938	0.0373475602034626	NOT
APEH	-1.72109572709948	2.46938275974638e-08	DOWN	-1.54012058486118	7.02537688877025e-07	DOWN	-0.871610980632831	0.00733462746317502	NOT
APEX2	-2.35971732829673	6.41610283953744e-08	DOWN	-1.54113000321591	0.000433099062410524	DOWN	-0.921515863516658	0.0452763169970621	NOT
APOA1BP	-2.10296595959309	2.65311452215763e-09	DOWN	-1.58768917824967	7.40649039551146e-06	DOWN	-0.903095489415516	0.0149355108052003	NOT
APRT	-2.51838788384284	2.13186979942353e-07	DOWN	-2.39191505831467	8.49632341560828e-07	DOWN	-1.63192875664013	0.00102910612438929	DOWN
AQP3	-6.39720551844577	8.25018175813956e-09	DOWN	-3.5080255763027	0.0008825056192039	DOWN	-0.741942066861242	0.563544140460803	NOT
ARFGAP1	-1.16725904551606	0.00597841674589622	DOWN	-1.03218279183897	0.0174709591316448	DOWN	-0.992862131665842	0.0241519278952099	NOT
ARHGAP27	-2.99037264166319	6.92207479180333e-09	DOWN	-1.53524801493193	0.00215308017146335	DOWN	-0.629136938614163	0.255163905805172	NOT
ARHGAP44	-2.89741685155599	7.44214215436616e-05	DOWN	-2.17701016412743	0.00171482471444814	DOWN	-1.6553666884246	0.0182404311503244	DOWN
ARHGEF18	-2.45956082066688	1.4805729906837e-09	DOWN	-1.9821487512055	1.27109066256177e-06	DOWN	-1.11258784816166	0.00948059145850105	DOWN
ARHGEF34P	-2.27602755305701	1.03720670332879e-09	DOWN	-1.47061464915125	2.29250496276092e-05	DOWN	-1.2021165598455	0.000575234318175155	DOWN
ARHGEF37	-4.99436873072068	9.91751494282991e-10	DOWN	-1.94932971801356	0.0140096706956291	DOWN	-0.858581262969977	0.334069827746889	NOT
ARHGEF5	-2.11466333623665	1.21544392081594e-10	DOWN	-1.49094740496734	3.61915781142898e-06	DOWN	-1.0288512366625	0.00176481460397473	DOWN
ARRB2	-1.69482699558355	0.00143297764678917	DOWN	-1.32750144564782	0.0144345841149011	DOWN	-0.544108252486508	0.374127606183491	NOT
ARRDC1	-2.8375466167678	9.16006174663427e-08	DOWN	-1.86065149246538	0.00047509952583529	DOWN	-0.543293821118426	0.378489624264218	NOT
ARVCF	-2.97142173798681	1.27867035183436e-05	DOWN	-1.41507091880032	0.031768034217475	DOWN	-1.00124647399949	0.145694335830254	NOT
ASB6	-2.28278802617065	6.08767677376009e-12	DOWN	-1.80004913429832	4.12735931709137e-08	DOWN	-1.34311717101628	5.43789032384788e-05	DOWN
ASB9	-3.00651975596214	0.0135861428411603	DOWN	-2.45877809217396	0.0332283882075644	DOWN	-0.806974397135342	0.510705405693551	NOT
ASNA1	-2.54967654777264	8.15032999393683e-16	DOWN	-2.49788079621607	2.22128711465164e-15	DOWN	-2.37270828451504	5.43543193421803e-14	DOWN
ATAD3A	-2.27520637488603	1.1052319272774e-08	DOWN	-1.70847751884814	1.44223473666232e-05	DOWN	-1.64697664256125	3.17970384548699e-05	DOWN
ATAD3B	-2.43478966245151	1.58228343750824e-07	DOWN	-1.75026471581411	0.000124593104683164	DOWN	-1.7144152210377	0.000181408941902191	DOWN
ATF3	-3.62333949444207	5.17837216368004e-08	DOWN	-2.81849630347472	2.90761797844435e-05	DOWN	-0.936214566914784	0.220434122106329	NOT
ATG101	-2.22938733480915	8.47695158338732e-08	DOWN	-2.04260243513886	1.06066255367063e-06	DOWN	-2.00532070072185	1.89594568734303e-06	DOWN
ATG4B	-1.82120141222783	4.05432348011506e-09	DOWN	-1.51953260144338	9.13437434022176e-07	DOWN	-1.41711595554961	5.49811683710071e-06	DOWN
ATG4D	-3.09217032885423	1.23966061126614e-06	DOWN	-2.29340084834053	0.000252266888625485	DOWN	-1.10477344182118	0.0972088839394266	NOT
ATP13A2	-2.28185473573567	4.998915485595e-07	DOWN	-2.14989432976405	2.29228317903547e-06	DOWN	-1.47115269762704	0.00162328326154774	DOWN
ATP5B	-1.6805518011836	1.01540152255863e-05	DOWN	-1.17363652793907	0.00292079095743392	DOWN	-0.0365242732375272	0.955991061963037	NOT
ATP5D	-1.86848206625705	1.16896914576277e-10	DOWN	-1.82595580809592	1.8816835570206e-10	DOWN	-1.10112791941766	0.000152718849979341	DOWN
ATP5G1	-1.58911813534329	0.00206548750736895	DOWN	-1.45651743391779	0.00514013049461527	DOWN	-0.366862417766612	0.554637076279931	NOT
