0d	90d	120d	control	std
COLEC12	10.4322075405876	7.1189972009971	4.50295038829935	3.13169896245403	3.21524308663605
TNFRSF11B	11.7488692162753	9.68950073668255	6.46432445052654	4.5708985487846	3.21296315596966
CXCL12	9.49401114008666	7.77059567978693	4.08374691695247	2.58789716113571	3.19669509455219
IGFBP5	13.1161340676166	10.5005098355753	7.77082095187643	5.94913843905547	3.1393258158497
PCDH18	10.4365418147694	8.77061050685986	5.8965795822608	3.62881478286386	3.02176280980233
PTX3	11.0426431496521	7.98667295711869	5.09714441414849	4.48739377668789	3.00867259208546
ITIH5	8.85954447733887	6.03359940365337	3.96695705009309	1.839521912454	2.99431921852029
COL3A1	13.2817250707023	12.0589116079184	9.07040825169947	6.64247627098464	2.99268364114368
GREM1	13.3868515395337	12.6364569515161	9.47138298614586	6.99784778717143	2.9530117094397
RCAN2	8.59869863706051	5.2250017701073	2.96072092399688	2.04397116772887	2.91861024289602
FGF7	8.79136606591708	7.52638949871305	4.40559936151215	2.39327542926524	2.91416537271768
LUM	12.9258942924384	11.7259816933609	8.9780445683734	6.41321084964408	2.91255068340359
ALPK2	9.89500493731107	8.65247697292561	5.66204475631022	3.5423996045847	2.87758424828068
PDGFRA	11.7880597318995	10.6106419891058	7.70055832349906	5.43699288383519	2.86921869327757
DCN	13.2354962974836	11.8335369353309	9.05652725569493	6.82071350051759	2.86382255233068
MASP1	11.3460076152727	9.98395598873307	7.49723251311056	4.86976463177126	2.85558388584307
THY1	10.9729308624392	9.65057506155305	6.74912152092823	4.64547005979109	2.85074271935742
RUNX1T1	8.42486932034306	6.91078735191695	4.1003329335991	2.0963506468914	2.83045355018693
COL1A1	14.7825172525035	14.1055407211481	11.200061146617	8.71815300523222	2.79425644075013
BMPER	9.08742269050769	7.27806264514914	4.20023089204876	3.00010357093871	2.79028327773396
PTGFR	8.32556245774551	6.72108544648346	4.28216941665131	1.98390480034698	2.78105507151119
MXRA5	12.5589153723212	11.1642262028026	9.03373299621885	6.20298428784117	2.76791120864133
MME	13.1298703912782	11.5899420598497	9.11866123152093	6.8459344660025	2.76476570489973
FMN2	8.25586701258593	7.14170358115307	4.2850446173643	2.16170487096579	2.76310607412186
LINC00968	6.9374122784472	5.7646444047051	2.37385797343398	1.09221018248562	2.75891728712888
COL6A3	15.1076217207184	14.3653390953054	11.9059468947648	9.00259410958368	2.75847434422597
