0d	90d	120d	control	std
COL3A1	13.2817250707023	12.0589116079184	9.07040825169947	6.64247627098464	2.99268364114368
FGF7	8.79136606591708	7.52638949871305	4.40559936151215	2.39327542926524	2.91416537271768
PDGFRA	11.7880597318995	10.6106419891058	7.70055832349906	5.43699288383519	2.86921869327757
COL1A1	14.7825172525035	14.1055407211481	11.200061146617	8.71815300523222	2.79425644075013
COL6A3	15.1076217207184	14.3653390953054	11.9059468947648	9.00259410958368	2.75847434422597
COL1A2	15.1389625316102	13.9402197480169	10.9952004000615	9.15927563680278	2.72741619967105
ANGPT1	7.50319855500847	6.05815431410162	3.40356221000147	1.44058391608355	2.70605134654696
IL6	8.2434476316625	7.89905144616647	5.09857808553507	2.58552457227542	2.65224061540997
PDGFRB	11.1884859210561	10.713314744573	8.53992135858306	5.4952982623732	2.59605682112757
COMP	6.54662722606205	4.73155105655945	2.55211708092442	0.829790081445529	2.49788112195415
COL5A1	12.1074187665078	11.3535344469078	9.15491914585737	6.6464329981033	2.45613478838909
CREB3L1	9.34354244839689	8.25114862847244	5.73956562798257	3.91487300088833	2.45107567917142
ITGA11	8.70938349590144	7.33058574249523	5.06902525796001	3.27691028162686	2.40526632663987
CHRM2	5.69146619997584	3.95719397690813	1.64459419714509	0.317141695338709	2.39145119001367
TNC	14.714595433364	13.2812987142123	11.2653664107037	9.34079495712085	2.34742376671198
COL5A2	11.9983429547907	11.0105523791318	8.48122876221339	6.98656638299253	2.29651336730814
ITGA4	8.6498317973462	7.78018090679985	7.42864373498522	3.48546246186443	2.29192726479761
FN1	15.9809877076979	15.1899597332956	13.0711687706789	11.0868685543831	2.20429984166348
ITGA1	9.69200020177945	9.02063690098509	8.10409279937778	4.79187194884281	2.17326077145342
TLR4	7.22990021375089	6.19622579532301	4.30153942745519	2.31600974102956	2.16753201576098
LAMA4	11.5757461568724	10.3463733574226	7.86824222951884	7.20747075003076	2.05688346970339
LAMA2	9.58146121876284	7.98343630057077	5.54133624247225	5.318449937729	2.04461165746642
ITGA8	5.84514469603615	5.68515578818185	3.73670049157532	1.52138222985043	2.02499338613371
COL6A1	14.5067204854293	13.6554797057754	11.5224167014855	10.0879383325558	2.01021045903141
COL6A2	13.9375391985595	13.1540384755383	11.0166439496874	9.6252528378511	1.97268997303582
FGF2	10.2897506283663	9.37705493896753	7.08759149875248	6.34084495163219	1.86410248496588
FGF5	8.5111040011337	7.46606285779716	5.61572931413419	4.5130497741308	1.79860283355559
LPAR1	10.4431209434059	9.62214422274386	8.93405546023772	6.48387200709985	1.70666710156083
THBS1	16.9252871555348	16.0085970419933	14.3419856706871	13.1311234330353	1.69393724969377
CSF1	9.89731841766633	8.56746362507267	8.29185717760658	6.10781076816556	1.5706234854698
VEGFC	9.29749624789057	8.25092641166724	6.87958527712944	5.85801378642285	1.51167283545188
FGF13	5.41013141679518	4.3017275750886	3.52523157996865	1.83371722514501	1.50353436031727
PDGFC	9.23396216274313	8.03364775206351	6.20930433412723	6.30881828552216	1.45656402161831
NGF	5.32616397801284	4.80992770871501	3.0257001531847	2.53835927444178	1.35127967170409
FGF10	2.43235104983161	1.27945433520085	-0.00798157035841859	-0.567137463332875	1.34354547331426
LAMB1	11.3357957050497	10.9964052157173	10.443932258303	8.4157587097834	1.30753180540646
GNG11	6.04379764324651	5.62497087042677	4.13671203538174	3.53261467736183	1.19290379907666
LAMC1	12.6700168654911	12.3866033833123	11.7326391558764	10.1629716192435	1.12102407228084
ITGA5	10.8101835968528	9.99027977117024	8.92327078781043	8.29687194808366	1.11609182001334
PRKAA2	6.28880052550209	5.38441774194488	4.65801780089364	3.71554274463509	1.09163775980341
AKT3	9.44032771082314	9.0841302703519	8.39016908868513	6.98957871051049	1.08267655129592
ITGB1	13.3124407679359	12.8267721543156	12.0989621926866	10.955409461893	1.02483410639049
ITGAV	10.7977106086127	10.5787855394644	10.3827170225925	8.72171322041522	0.947628931881944
PPP2R3A	8.97889469899424	8.48939753770957	7.64487984375918	6.92214715654408	0.910184962342643
CCND1	12.8830077956714	12.3380515183926	11.6154186303989	10.9223594215842	0.854137730578358
KITLG	9.01539428746124	8.65421613723151	8.10348150991938	7.39619860581686	0.705336507810648
JAK1	11.0402490664597	10.7166655973635	10.4965453971126	9.42634465844968	0.699030163197598
