0d	90d	120d	control	std
KRT14	5.90983581882326	7.22544988706451	8.12938431476613	17.6187558403403	5.34354846217254
KRT17	6.13030076043098	6.75422830291987	7.00646243600783	16.6295315289357	5.01314510579653
KRT16	4.46547085829064	5.7886516155765	6.47504666695578	15.0603182391157	4.81475009201367
KRT6B	3.07389017301513	3.79135726377866	3.96862466038403	13.1514610857033	4.78574442511952
PMEL	4.56111157273591	4.70470046234082	4.9534141417021	14.1994733436482	4.73264124661222
SPRR2D	2.52091934171279	3.33692994312807	3.40112731168278	10.9696488311854	3.9619724283463
SOX10	2.81716261797217	2.97610817350986	3.0036023601283	10.692814088494	3.88113162905375
KRT6A	7.02227446363704	9.38989200190958	10.5249931654349	15.6711462636257	3.65037824508046
SULT2B1	1.49849113524171	1.52341986875775	1.68060589662518	8.62692638806062	3.53063092884463
RNASE7	3.10358716712205	3.77523974620231	4.25902160448417	10.484452988125	3.41890466521676
KRT5	7.80754363729481	9.9659707401407	11.7406650214455	15.8690982135964	3.41756892090303
SPRR1B	2.9931498992207	4.22510961228987	5.0563873890399	10.6134723698651	3.36931475697994
CNFN	1.63467063422062	1.85873822600701	2.15607191769055	8.47902901264533	3.3048417895176
GJB2	2.08986266087541	2.72614178794061	3.40377252395986	8.86312598195269	3.10824984066262
GREB1	1.58634302957596	1.93756503636636	2.11394157999848	8.0464169797504	3.09135511939042
KLK5	4.38715308308693	6.33767566698737	7.99954428644907	11.5138140263292	3.02141677838405
SLPI	4.67277662629974	6.07425916811637	8.39213360967711	11.412167176037	2.94679997676162
TRIM29	5.86343234094578	8.05904649006343	10.0466375842984	12.7438489440533	2.92735520197154
SFN	7.48659851613256	10.1194029744627	12.3360506121091	14.1824526937398	2.88840221882569
SPRR1A	3.04345522049729	4.11787138674917	6.08579023094336	9.61315457401421	2.88796732299193
TNS4	5.78684287099149	7.9145719803934	9.32988129673754	12.5701294279092	2.84707236358949
GPR143	2.41735176977912	2.71099820444442	3.26244717803833	8.36627447452353	2.80662006926512
TGM1	3.17373807434878	4.13871369252255	4.64698717543039	9.4619990288286	2.80511310738484
