case1_rep1	case1_rep2	case1_rep3	case2_rep1	case2_rep2	case2_rep3	case3_rep1	case3_rep2	case3_rep3	control_rep1	control_rep2	control_rep3
A1BG	20.9330822987332	26.5679860626287	25.081885300228	23.1121237191622	5.23602536294313	5.64149612702388	0	4.48465772783869	1.90214809627835	14.8762596138877	10.9112699265114	27.0192986581596
A1BG-AS1	9.66142259941531	11.3862797411266	15.0491311801368	7.11142268281913	5.23602536294313	9.40249354503979	0	1.49488590927956	0	6.86596597564049	6.06181662583964	8.25016752920903
A1CF	3.2204741998051	1.89771329018776	2.5081885300228	0	2.09441014517725	3.76099741801592	0	1.49488590927956	0	3.24226171071912	2.62678720453051	1.23752512938135
A2M	1.61023709990255	762.880742655481	22.5736967702052	8.88927835352392	19.8968963791839	1.88049870900796	1.343744845192	28.4028322763117	9.51074048139174	22.3143894208316	55.56665240353	26.6067902816991
A2M-AS1	0	0	5.0163770600456	0	0	0	0	1.49488590927956	1.90214809627835	0.953606385505624	1.61648443355724	1.23752512938135
A2ML1	4.83071129970766	3.79542658037553	0	3.55571134140957	1.04720507258863	1.88049870900796	1.343744845192	0	0	420.921858562182	2019.79729972977	1281.66352566262
A3GALT2	6.44094839961021	0	0	3.55571134140957	2.09441014517725	0	0	0	0	1.33504893970787	0.404121108389309	0.206254188230226
A4GALT	289.842677982459	151.817063215021	122.901237971117	195.564123777526	31.4161521776588	63.9369561062706	8.06246907115203	55.3107786433439	13.3150366739484	29.1803553964721	74.5603444978276	35.2694661873686
A4GNT	0	5.69313987056329	2.5081885300228	1.77785567070478	1.04720507258863	0	0	0	0	0	0	0
AAAS	80.5118549951276	117.658223991641	147.983123271345	97.7820618887631	217.818655098434	173.005881228732	290.248886561473	180.881195022827	213.040586783175	455.823852271688	437.056978723038	532.960822386903
AACS	133.649679291912	246.702727724409	130.425803561186	179.563422741183	214.677039880668	156.081392847661	239.186582444177	186.860738659946	256.789992997577	357.79311584171	301.676407412619	460.359348129864
AADAC	0	0	0	0	12.5664608710635	7.52199483603184	14.7811932971121	7.47442954639782	7.6085923851134	0	0	0
AADACL2	0	0	0	0	2.09441014517725	0	4.03123453557601	0	0	10.2989489634607	34.1482336588966	7.01264239982768
AADACL2-AS1	0	0	0	0	0	0	1.343744845192	0	0	0	1.21236332516793	0.206254188230226
AADACP1	0	0	0	0	31.4161521776588	28.2074806351194	33.5936211298001	22.4232886391935	13.3150366739484	0	0	0
AADAT	48.3071129970766	58.8291119958207	57.6883361905244	60.4470928039626	34.5577673954247	33.8489767621433	13.43744845192	47.8363490969461	34.2386657330103	10.2989489634607	14.3462993478205	9.07518428212993
AAED1	479.850655770961	163.203342956148	97.8193526708893	275.567628959241	89.0124311700333	154.200894138653	149.155677816313	77.7340672825374	213.040586783175	55.8813341906296	54.9604707409461	65.5888318572118
AAGAB	227.04343108626	250.498154304785	328.572697432987	218.676247496688	436.684515269457	477.646672088022	374.904811808569	554.602672342719	641.023908445804	585.514320700453	480.904118983278	473.559616176598
AAK1	1249.54398952438	1347.37643603331	1321.81535532202	1276.50037156603	983.325563160721	1085.04775509759	933.902667408443	1025.49173376578	781.782867570401	679.158467757106	689.834732020551	368.988742743874
AAMDC	19.3228451988306	28.4656993528165	12.540942650114	14.2228453656383	9.42484565329764	5.64149612702388	8.06246907115203	5.97954363711826	17.1193328665051	7.81957236114612	14.9524810104044	15.4690641172669
AAMP	157.80323579045	203.055322050091	178.081385631619	142.228453656383	293.217420324816	285.83580376921	395.060984486449	394.649880049805	559.231540305835	781.385072283308	717.112906836829	643.100558901844
AANAT	1.61023709990255	0	2.5081885300228	0	3.14161521776588	1.88049870900796	1.343744845192	1.49488590927956	3.8042961925567	0	0.404121108389309	3.09381282345339
AAR2	127.208730892302	161.30562966596	132.933992091208	104.893484571582	184.308092775598	101.54693028643	171.999340184577	146.498819109397	89.4009605250824	947.694025915489	730.044782305287	532.342059822213
AARD	0	3.79542658037553	7.5245655900684	0	1.04720507258863	0	0	0	0	0	0.404121108389309	0
