case1_rep1	case1_rep2	case1_rep3	case2_rep1	case2_rep2	case2_rep3	case3_rep1	case3_rep2	case3_rep3	control_rep1	control_rep2	control_rep3
A1BG	4.01615060509678	4.24831921695476	4.18252930665852	4.11117473882985	2.8147206677871	2.89168054242047	1.64945176385692	2.72130420598102	2.28581186518323	3.70365968146589	3.41538755292309	4.28893919845921
A1BG-AS1	2.89999365266894	3.0380275811046	3.27862274324002	2.64473984076333	2.41268395223822	2.87237912724891	1.18072338814402	1.70546695422853	1.28955501918324	2.63125580315609	2.52859554269416	2.78672074097105
A1CF	1.06065530359545	0.780950886530395	0.905665116286082	0.200471566443247	0.834970922171432	1.14807447859811	0.159558904447852	0.680508155199687	0.210883898262431	1.10502787349951	0.974597785070216	0.588826905436801
A2M	2.51001146337353	8.3947063597944	4.41076136842563	3.55451583832925	4.28898475442614	2.60888313472617	2.39851024969899	4.64773803287875	3.6138404078316	4.406625800839	5.37360358707832	4.58783042458961
A2M-AS1	-0.640938192434701	-0.624511904239559	0.544876802527192	-0.631121767639286	-0.679976832864562	-0.625441525232632	-0.658117114416612	-0.102555127883701	-0.00627363185036056	-0.257829150241394	-0.0263853918756621	-0.151319547499115
A2ML1	3.00553515920322	2.86336241239132	2.13252612304809	2.81139169152577	2.08600773814818	2.48974800922294	2.25464360400415	1.84181228264881	1.97592289367185	7.91218814590693	10.8132132601695	9.85913871523471
A3GALT2	0.839525604820012	-0.651157799568002	-0.617654818266474	0.384927241461494	0.0965023129815401	-0.652230151632845	-0.690313652178278	-0.678579235990209	-0.650882838228646	-0.103788305582374	-0.535675087651606	-0.66386688206057
A4GALT	7.59178225764265	6.87549975192433	6.64631265867187	7.15280102975718	5.27662975929968	5.96834233322667	4.18412576797313	5.82318684422128	4.56254452903302	5.20056558389695	6.12669309916612	5.3803668149704
A4GNT	-1.187794956331	0.304741882929183	-0.327070857734512	-0.479181532735708	-0.693365829767547	-1.17257509618435	-1.20499665183649	-1.19494372044779	-1.17143904343485	-1.32535751974095	-1.3235411594117	-1.32287461816881
AAAS	6.78605886887198	7.13948410636973	7.36328941642142	6.9643172942757	7.75228195254213	7.51829128751678	8.05077144675543	7.56296342279111	7.72947802226934	8.5336124626391	8.48814686236997	8.70353606227103
AACS	7.29156353122461	7.9064982087815	7.26937127900312	7.58319424892239	7.76376552615281	7.44379823548028	7.87466960242937	7.62309729336763	7.9479331961836	8.29701369005514	8.11663017830086	8.56707621657548
AADAC	0.145551566566521	0.190834610594227	0.267988079101052	0.172807923360495	2.46713377362192	1.93754367055262	2.61097916907123	1.9518655135498	1.94689411432156	-0.302315979614353	-0.295136690040974	-0.292515659038485
AADACL2	0.233119450439547	0.282242126526617	0.365667315861621	0.262703699222223	1.05824143553277	0.279511819204953	1.52350381928791	0.211007742514248	0.282941538601366	2.41993745190159	3.64297571564544	2.0571490456562
AADACL2-AS1	-2.34327312904398	-2.3392199133857	-2.32026393959377	-2.34086007355187	-2.3525805066712	-2.33945131771261	-1.87998774433329	-2.34502083337877	-2.33916052046008	-2.37177633723458	-1.8659420381172	-2.25949450910534
AADACP1	0.5666797841371	0.632904983533455	0.74443061184259	0.606622746927948	3.92843060731344	3.7813665081602	3.99345506429468	3.54228974976281	2.97012111948575	-0.179755379115087	-0.164970062546423	-0.159616885493478
AADAT	5.37359445208028	5.57490041671895	5.55162796379133	5.60368864070678	5.03953415590936	5.01784875048893	4.17311607054785	5.36409867367311	5.02898575331023	3.92166410698254	4.20939471252047	3.81711423942203
AAED1	8.41340435579857	7.24699763862721	6.72787873785026	7.80311999999182	6.63300624953101	7.18815715303496	7.15403716668143	6.5018683313285	7.52707473272636	6.18317712885365	6.16771853550279	6.33469275414239
AAGAB	8.07510360038733	8.17144779432092	8.44218462650923	8.03887823695761	8.73338752364351	8.82658391286318	8.57616901003238	8.98353232548669	9.13708727025606	9.0413067888462	8.83397129638101	8.81788431300116
